,chembl_id,smiles,rdkitmol,MACCS_fps,MACCS_ts,Morgan_fps,Morgan_ts,ShapeSimilarity,molecular_weight,n_hba,n_hbd,logp,TPSA,ro5_fulfilled
30,CHEMBL457351, CN(C)CCC1=CC(Cc2ccccc2)c2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x12c90f6f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91ee30>,0.27906976744186046,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df698c0>,0.08974358974358974,0.4153929628656457,277.183049736,1,0,4.361600000000004,3.24,True
31,CHEMBL1774516, CC(C)C1=C(CCNC(=O)C(F)(F)F)c2c3CCOc3ccc2C1,<rdkit.Chem.rdchem.Mol object at 0x12c90f760>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91eea0>,0.40217391304347827,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df699a0>,0.08695652173913043,0.5548195578255234,339.14461353999997,2,1,3.655800000000002,38.33,True
33,CHEMBL370037, CC1=C(C(=O)c2c1cc(O)cc2)c1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x12c90f840>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91ef80>,0.1797752808988764,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df69b60>,0.09722222222222222,0.5351420146328935,252.078644244,3,2,3.224800000000001,57.53,True
34,CHEMBL206300, COc1cc2c(CC(=C2)c2cnccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x12c90f8b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91eff0>,0.20454545454545456,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df69c40>,0.1,0.5547839014255642,223.099714036,2,0,3.1869000000000014,22.12,True
35,CHEMBL1774517, CCNC(=O)NCCC1=C(Cc2ccc3OCCc3c12)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x12c90f920>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91f060>,0.43010752688172044,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df69d20>,0.11235955056179775,0.4942888102228289,314.199428072,2,2,3.296400000000002,50.36,True
36,CHEMBL1774528, CC(C)Oc1c(cccc1)C1=C(CCNC(=O)C)c2c(C1)ccc1c2CCO1,<rdkit.Chem.rdchem.Mol object at 0x12c90f990>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91f0d0>,0.41935483870967744,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df69e00>,0.08,0.42197638075747274,377.199093724,3,1,4.401800000000003,47.56,True
37,CHEMBL1078448, COc1cc(cc(OC)c1OC)C(=O)C1=C(O)c2cc(OC)c(OC)cc2C1,<rdkit.Chem.rdchem.Mol object at 0x12c90fa00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91f140>,0.21739130434782608,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df69ee0>,0.11538461538461539,0.5187866519936858,386.136553044,7,1,3.4377000000000013,83.45000000000002,True
53,CHEMBL434950, CN1C=CC=C1CNC(=O)C1=C2CC3C4CCC5=CC(O)=CC=C5C4CC[C@]3(C)C2=NN1,<rdkit.Chem.rdchem.Mol object at 0x12c914190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91f840>,0.5157894736842106,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6ace0>,0.12264150943396226,0.44259795279930836,430.23687620000004,4,3,3.953800000000003,82.94,True
57,CHEMBL577792, O=C1NC2=CC=CC=C2N1C1CCN(CC2=CC=C(C=C2)C2=C(N=CC(=O)N2)C2=CC=CC=C2)CC1,<rdkit.Chem.rdchem.Mol object at 0x12c914350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91fa00>,0.45652173913043476,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6b060>,0.09278350515463918,0.5779966694134788,477.21647510400004,5,2,4.584000000000003,86.78,True
61,CHEMBL440560, O=C1NC2=CC=CC=C2N1C1CCN(CC2=CC=C(C=C2)C2=C(NC(=O)C=N2)C2=CC=CC=C2)CC1,<rdkit.Chem.rdchem.Mol object at 0x12c914510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91fbc0>,0.45652173913043476,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6b3e0>,0.09278350515463918,0.5112885297857622,477.21647510400004,5,2,4.584000000000004,86.78,True
62,CHEMBL2332070, COC1=CC=CC(CN(CCCN2CCCC2)C(=O)NC2=CC=C(C=C2)C2=CNN=C2)=C1,<rdkit.Chem.rdchem.Mol object at 0x12c914580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91fc30>,0.44680851063829785,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6b4c0>,0.13,0.5560745991758458,433.24777523200004,4,2,4.605300000000003,73.49000000000001,True
66,CHEMBL2332074, COC1=CC=CC(CN(CCCN2CCCCC2)C(=O)NC2=CC=C(C=C2)C2=CNN=C2)=C1,<rdkit.Chem.rdchem.Mol object at 0x12c914740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91fdf0>,0.4574468085106383,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6b840>,0.12871287128712872,0.46525669875383685,447.2634252960001,4,2,4.995400000000004,73.49000000000001,True
68,CHEMBL1642746, CC1(C)CCC(CC1)NCC1=CC=C(C=C1)N1CCCC2=CC(=CC=C12)C(N)=O,<rdkit.Chem.rdchem.Mol object at 0x12c914820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91fed0>,0.4222222222222222,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6ba00>,0.12903225806451613,0.48249264333092584,391.262362676,3,2,4.928200000000004,58.36,True
69,CHEMBL244185, [H][C@@]12C[C@@]([H])(C(CN3CCC(CC3)NC(=O)NC3=CC=CC(OC)=C3)=CC1)C2(C)C,<rdkit.Chem.rdchem.Mol object at 0x12c914890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c91ff40>,0.4489795918367347,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6bae0>,0.125,0.5311631308046478,383.257277296,3,2,4.273500000000003,53.60000000000001,True
76,CHEMBL1256678, [H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=C(C=CC(OC)=C4)[C@@]3([H])CC[C@]12C)NCCCCCCN1C(=O)C=CC1=O,<rdkit.Chem.rdchem.Mol object at 0x12c914ba0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c8942e0>,0.5333333333333333,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6c190>,0.17708333333333334,0.4917104393299484,464.30389313999996,4,1,4.994900000000005,58.64,True
77,CHEMBL237103, [H][C@@]1(CC[C@@H](CC1)NC(=O)C(CC1=CC=CC=C1)N(C)C)C1=CC=C(O)C=C1,<rdkit.Chem.rdchem.Mol object at 0x12c914c10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c894350>,0.33695652173913043,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6c270>,0.10465116279069768,0.5363268326537407,366.23072819999993,3,2,3.707500000000003,52.57000000000001,True
80,CHEMBL438624, C[C@]12CCC3C(CCC4=CC(O)=CC=C34)C1CC1=C(NN=C21)C(=O)NCC1=NC=CC=C1,<rdkit.Chem.rdchem.Mol object at 0x12c914d60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c8944a0>,0.46808510638297873,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6c510>,0.11320754716981132,0.5508503911927398,428.22122613600004,4,3,4.010300000000003,90.89999999999999,True
81,CHEMBL364060, C[C@]12CCC3C(CCC4=CC(O)=CC=C34)C1CC1=C(NN=C21)C(=O)NCC1=CC=CN=C1,<rdkit.Chem.rdchem.Mol object at 0x12c914dd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c894510>,0.4574468085106383,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6c5f0>,0.11214953271028037,0.5490575320664202,428.22122613600004,4,3,4.010300000000003,90.89999999999999,True
83,CHEMBL3262656, CCN(CC)CCCCOC1=CC=C(CC2NCCC3=CC(OC)=C(OC)C=C23)C=C1,<rdkit.Chem.rdchem.Mol object at 0x12c914eb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c8945f0>,0.5232558139534884,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6c7b0>,0.14606741573033707,0.6480438157378209,426.2882430759999,5,1,4.634100000000004,42.96000000000001,True
92,CHEMBL227051, CC1=C2C=C(C=CC2=NN1)C1=CC(OC[C@@H](N)CC2=C(C)C=C(C)C=C2C)=CN=C1,<rdkit.Chem.rdchem.Mol object at 0x12c9152a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c8949e0>,0.4044943820224719,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6cf90>,0.07368421052631578,0.4443618726364603,400.226311516,4,2,4.807380000000004,76.82,True
94,CHEMBL364492, CC(C)N1CCN(CC1)C1=CC=C(C=C1)C1N(CCC2=CC(O)=CC=C12)C1=CC(O)=CC=C1,<rdkit.Chem.rdchem.Mol object at 0x12c915380>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c894ac0>,0.4659090909090909,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6d150>,0.08791208791208792,0.5656773439531745,443.257277296,5,2,4.780300000000006,50.18000000000001,True
97,CHEMBL497949, NC(=O)C1=CC2=C(C=C1)C(C(=NC1=CC=C(CN3CCCCC3)C=C1)C1=CC=CC=C1)C(=O)N2,<rdkit.Chem.rdchem.Mol object at 0x12c9154d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c894c10>,0.4606741573033708,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6d3f0>,0.11578947368421053,0.5205974942448747,452.221226136,4,2,4.628100000000003,87.79,True
101,CHEMBL386531, CN(C)[C@H](CN(C)[C@H](CNCC1=CC=CC=C1)CC1=CC=C(O)C=C1)CC1=CC=C(O)C=C1,<rdkit.Chem.rdchem.Mol object at 0x12c915690>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c894dd0>,0.375,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6d770>,0.058823529411764705,0.5011079975648333,447.288577424,5,3,3.903400000000003,58.97,True
111,CHEMBL517014, [H][C@@]12CCCN(CCN3CCN(CC3)C3=CC=CC(Cl)=C3Cl)[C@]1([H])CC1=C(C2)C=CC(O)=C1,<rdkit.Chem.rdchem.Mol object at 0x12c915af0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c895230>,0.38461538461538464,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6e030>,0.0967741935483871,0.5613800972998675,459.18441797199995,4,1,4.7004000000000055,29.950000000000003,True
112,CHEMBL2332096, COC1=CC=CC(CNC(=O)N(CCCN(C)C)C2=CC=C(C=C2)C2=CNN=C2)=C1,<rdkit.Chem.rdchem.Mol object at 0x12c915b60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c8952a0>,0.46875,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6e110>,0.10309278350515463,0.5599224853780231,407.23212516800004,4,2,3.7532000000000023,73.49000000000001,True
113,CHEMBL2332073, COC1=CC=CC(CN(CCN2CCCCC2)C(=O)NC2=CC=C(C=C2)C2=CNN=C2)=C1,<rdkit.Chem.rdchem.Mol object at 0x12c915bd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12c895310>,0.46808510638297873,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x12df6e1f0>,0.12,0.561187409460463,433.24777523200004,4,2,4.605300000000003,73.49000000000001,True
